step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1,0
1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1,0
1,CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12146,1,0
1,CASH_OUT,25071,C1275464847,25071,0,C1364913072,9084,34155,1,0
1,CASH_OUT,35064,C1635772897,35064,0,C1983025922,31140,7550,1,0
1,CASH_OUT,132843,C13692003,4499,0,C297927961,0,132843,1,0
1,CASH_OUT,235239,C1499825229,235239,0,C2100440237,0,235239,1,0
1,CASH_OUT,416001,C749981943,0,0,C667346055,102,9291620,1,0
1,CASH_OUT,1277213,C467632528,1277213,0,C716083600,0,2444985,1,0
1,TRANSFER,181,C1305486145,181,0,C553264065,0,0,1,0
1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1,0
1,TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,1,0
1,TRANSFER,25071,C669700766,25071,0,C1384210339,0,0,1,0
1,TRANSFER,35064,C1364127192,35064,0,C1136419747,0,0,1,0
1,TRANSFER,235239,C1872047468,235239,0,C116289363,0,0,1,0
1,TRANSFER,1277213,C1334405552,1277213,0,C431687661,0,0,1,0
2,CASH_OUT,14950,C395257482,14950,0,C1032986144,18162,33112,1,0
2,CASH_OUT,18627,C175961135,18627,0,C1711105800,147252,165879,1,0
2,CASH_OUT,963532,C430329518,963532,0,C991505714,132383,1095915,1,0
2,CASH_OUT,1096187,C77163673,1096187,0,C644345897,0,1096187,1,0
2,TRANSFER,14950,C140702728,14950,0,C634210724,0,0,1,0
2,TRANSFER,18627,C1375503918,18627,0,C234430897,0,0,1,0
2,TRANSFER,963532,C1440057381,963532,0,C268086000,0,0,1,0
2,TRANSFER,1096187,C1093223281,1096187,0,C2063275841,0,0,1,0
3,CASH_OUT,10539,C1984954272,10539,0,C124540047,0,10539,1,0
3,CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,1,0
3,TRANSFER,10539,C1134864869,10539,0,C118648358,0,0,1,0
3,TRANSFER,22877,C1247938090,22877,0,C1002031672,0,0,1,0
4,CASH_OUT,13707,C556223230,13707,0,C2094777811,0,13707,1,0
4,CASH_OUT,86070,C1699873763,86070,0,C560041895,0,86070,1,0
4,CASH_OUT,169942,C2026325575,169942,0,C1394526584,0,169942,1,0
4,CASH_OUT,2930418,C2044690596,2930418,0,C932583850,3616012,6963509,1,0
4,CASH_OUT,10000000,C351297720,10000000,0,C766681183,0,9941904,1,0
4,TRANSFER,13707,C17222024,13707,0,C410033330,0,0,1,0
4,TRANSFER,86070,C1844941220,86070,0,C1191544932,0,0,1,0
4,TRANSFER,169942,C540962910,169942,0,C2127862399,0,0,1,0
4,TRANSFER,2930418,C2047521920,2930418,0,C449261773,0,0,1,0
4,TRANSFER,10000000,C7162498,12930418,0,C945327594,0,0,1,0
5,CASH_OUT,10119,C213063852,10119,0,C922511709,0,10119,1,0
5,CASH_OUT,60727,C840095827,60727,0,C803116137,13010503,13071229,1,0
5,CASH_OUT,120075,C1174000532,120075,0,C410033330,0,120075,1,0
5,TRANSFER,10119,C1775746074,10119,0,C746009679,0,0,1,0
5,TRANSFER,60727,C383882703,60727,0,C1807010830,0,0,1,0
5,TRANSFER,120075,C1409933277,120075,0,C162114152,0,0,1,0
6,CASH_OUT,10224,C1284098442,10224,0,C801412408,0,10224,1,0
6,CASH_OUT,10565,C1191732945,10565,0,C418964192,36275,24381,1,0
6,CASH_OUT,13704,C1421965867,13704,0,C1438594533,3383,143675,1,0
6,CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,1,0
6,CASH_OUT,17321,C436661284,17321,0,C522173599,6244,0,1,0
6,CASH_OUT,25976,C1004271827,25976,0,C451934410,98152,28041,1,0
6,CASH_OUT,26769,C682812632,26769,0,C256417920,101976,128745,1,0
6,CASH_OUT,30521,C1813769162,30521,0,C1249547869,0,30521,1,0
6,CASH_OUT,33333,C685428529,33333,0,C1626759869,31002,0,1,0
6,CASH_OUT,85355,C158801009,85355,0,C382431057,11170,10613,1,0
6,CASH_OUT,216422,C1547714604,216422,0,C7881234,10097,48631,1,0
6,TRANSFER,10224,C365589282,10224,0,C908043384,0,0,1,0
6,TRANSFER,10565,C777407608,10565,0,C1790657739,0,0,1,0
6,TRANSFER,13704,C1735554279,13704,0,C12793273,0,1658746,1,0
6,TRANSFER,17246,C1034673425,17246,0,C1379589736,0,101718,1,0
6,TRANSFER,17321,C788790720,17321,0,C1589547066,0,0,1,0
6,TRANSFER,25976,C864622150,25976,0,C41792607,0,0,1,0
6,TRANSFER,26769,C457596841,26769,0,C1956477953,0,0,1,0
6,TRANSFER,30521,C903383636,30521,0,C904300960,0,0,1,0
6,TRANSFER,33333,C2025652936,33333,0,C1662235713,0,0,1,0
6,TRANSFER,85355,C558400671,85355,0,C527482085,0,0,1,0
6,TRANSFER,216422,C666642000,216422,0,C1315078366,0,0,1,0
7,CASH_OUT,164,C1173659886,164,0,C1769947269,4068,0,1,0
7,CASH_OUT,21571,C452475723,21571,0,C2089016471,30797,71140,1,0
7,CASH_OUT,21729,C693427358,21729,0,C1101441872,27335,0,1,0
7,CASH_OUT,262435,C383717053,262435,0,C380242442,19526,438234,1,0
7,CASH_OUT,441446,C398085606,441446,0,C2072030256,98994,0,1,0
7,CASH_OUT,5460003,C1588880909,5460003,0,C1570256460,0,9281535,1,0
7,TRANSFER,164,C1455969984,164,0,C2119910556,0,0,1,0
7,TRANSFER,21571,C786114805,21571,0,C1666314150,0,0,1,0
7,TRANSFER,21729,C1686905633,21729,0,C824421402,0,0,1,0
7,TRANSFER,262435,C2101686389,262435,0,C612008977,0,0,1,0
7,TRANSFER,441446,C1023505879,441446,0,C847761155,0,0,1,0
7,TRANSFER,5460003,C666654362,5460003,0,C1726301214,0,0,1,0
8,CASH_OUT,222,C1737727444,222,0,C588779235,24708,171647,1,0
8,CASH_OUT,1996,C858959216,1996,0,C864078397,2560,4556,1,0
